UniqueCount	AmbigCount
0	2
0	0
0	0
0	15
0	17
0	17
0	11
0	14
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	3
65	27
0	0
29	41
0	166
0	77
0	550
3	590
0	31
0	302
17	99
2	63
0	193
0	355
0	72
0	2051
3	376
0	62
0	67
0	19
0	128
0	42
0	31
0	53
0	166
346	2054
14	2017
29	153
0	147
408	211
25	4
24	0
112	2
18	0
383	0
7	0
120	2
0	272
35	252
0	247
0	98
0	84
1	50
0	27
55	6
14	0
862	381
0	381
0	0
1	0
435	1
119	1
335	0
103	0
29	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
23	12
23	14
0	418
0	236
0	1049
0	1017
0	1528
0	1486
0	1569
0	249
157	0
34	0
1	10
0	1083
0	1647
0	1575
0	448
0	39
0	1048
0	1499
0	662
1017	312
0	1259
0	542
0	859
0	1290
0	419
0	43
14	96
4	17
0	31
0	178
43	3
2	405
88	5
0	0
0	161
0	161
0	161
0	161
0	161
0	161
0	161
0	161
0	161
0	161
0	161
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	161
0	161
0	0
0	0
0	1
0	2
0	0
136	120
127	1098
403	65
0	1089
0	157
14	0
0	36
0	0
56	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	1
0	0
0	22
0	1
0	0
0	0
0	16
0	0
581	1
0	30
0	30
0	22
0	1
37	1
0	1
4	3952
0	2804
0	20
0	23
0	14
18	2
0	2
0	114
0	115
0	121
0	120
0	120
0	121
0	37
0	28
0	23
2	3
0	7
916	177
0	508
0	508
0	34
0	615
0	717
22	709
0	448
0	4
0	4
108	118
0	0
0	709
4	709
0	552
748	90
217	15
9	0
28	0
22	0
42	10
0	95
0	452
0	452
0	537
0	537
0	539
0	533
0	452
0	450
0	450
0	539
0	3
0	454
0	460
0	6
0	64
0	0
30	8
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
599	366
140	49
164	352
0	67
0	294
63	0
0	119
0	592
0	581
0	594
0	608
