UniqueCount	AmbigCount
3	1
0	0
0	0
0	9
0	16
0	14
0	9
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
53	26
0	0
5	34
0	241
0	129
0	532
16	618
0	68
0	370
15	136
0	60
0	179
0	522
0	154
1	2349
11	583
0	149
0	99
0	34
0	189
0	100
0	84
0	100
0	101
393	2278
15	2255
28	254
0	233
288	221
23	13
10	0
33	0
21	0
143	1
6	0
44	1
0	232
16	222
3	212
0	72
0	66
0	26
0	20
36	12
7	0
227	260
0	258
0	0
1	0
553	2
53	1
96	0
30	1
17	0
0	0
0	0
0	0
0	0
0	0
0	0
0	12
391	9
20	6
0	375
0	263
0	1684
0	1699
0	2490
0	2419
0	2543
0	330
337	0
76	0
4	24
0	1768
0	2713
0	2561
1	444
0	41
0	1679
0	2426
0	986
1128	313
0	2114
0	707
0	1292
0	2022
0	816
0	76
13	207
14	37
0	81
0	279
90	20
1	591
84	1
0	0
0	39
0	39
0	39
0	39
0	39
0	39
0	39
0	39
0	39
0	39
0	39
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	39
0	39
0	0
0	0
0	0
0	0
0	0
160	216
295	1720
1148	65
1	1700
0	283
18	0
3	83
0	0
77	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
3	4
0	1
0	33
0	0
0	0
0	0
0	12
0	0
410	0
1	28
2	28
0	17
0	4
15	2
0	5
4	3339
0	2267
0	36
0	40
0	11
25	4
0	9
0	192
0	193
0	233
0	232
0	233
0	234
0	93
0	64
0	51
0	4
0	6
1042	149
0	504
0	503
0	43
0	713
0	800
23	786
0	528
0	4
0	4
102	92
0	0
0	786
0	786
0	612
639	77
236	23
12	0
22	0
5	0
25	9
0	78
0	246
0	244
0	318
0	317
0	316
0	314
0	245
0	246
0	245
0	317
0	6
0	248
0	250
0	3
0	28
0	0
33	4
9	0
0	0
0	1
0	1
0	1
0	1
0	0
0	1
0	0
0	0
0	0
764	481
145	20
112	468
0	92
0	377
66	0
0	258
0	808
0	746
0	761
0	800
49	104
0	162
3	166
0	175
0	167
0	228
0	709
0	158
0	47
0	38
0	219
0	559
0	70
287	1
347	1
25	74
0	21
0	366
16	5
0	39
0	187
0	12
6	57
0	1075
0	2272
12	95
0	72
0	1299
0	17
467	124
0	5
1	1174
677	401
680	156
70	0
0	0
0	0
88	481
4	24
0	0
0	0
0	0
0	0
14	278
0	0
0	53
0	0
0	0
5	1
0	53
0	53
0	0
0	0
0	0
0	2
0	1
24	1012
3	0
0	26
0	26
0	26
0	26
0	26
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	1594
0	1575
0	1640
0	1611
25	1623
0	1567
0	1108
13	17
22	151
115	330
27	577
22	602
93	212
26	179
0	115
8	0
0	1414
39	1414
4	0
6	19
239	68
0	8
1	0
0	0
0	0
0	7
0	7
0	7
0	7
0	11
0	0
2	2
0	92
0	4132
89	312
0	0
0	0
3	1968
0	0
0	0
0	0
0	0
0	26
0	26
0	0
97	250
3	250
20	0
14	0
0	0
6	7
4	23
0	0
0	3169
10	4275
0	8984
131	11706
1	8314
0	2690
0	6054
10	4680
93	150
0	115
0	157
0	69
0	61
0	60
0	68
0	59
0	0
0	0
0	0
0	127
0	136
0	116
0	132
0	126
0	78
0	122
0	110
2	58
0	57
0	5
0	9
9	15
0	8
0	9
19	0
5	244
2	255
39	1
0	51
4	38
122	28
3	0
174	4
81	285
43	287
20	2
57	39
4	280
0	275
0	33
10	287
5	6
1	0
55	38
70	0
48	38
2	38
48	0
0	0
0	0
3	0
0	0
9	11
0	0
0	0
0	0
0	0
0	0
0	0
3	1
0	0
154	146
35	53
8	0
13	47
1	18
16	19
4	0
0	33
0	44
0	42
0	6
0	45
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	4
0	0
0	0
0	0
0	525
3	433
0	756
0	1076
0	617
0	642
0	962
0	0
5	12
0	0
0	0
0	0
0	0
0	0
1	18
0	0
6	0
0	0
0	0
0	0
3	0
0	0
15	0
922	0
0	0
0	0
0	20
0	29
0	0
0	0
0	6
0	29
0	6
0	0
0	14
0	14
118	2
4	38
0	38
63	102
0	6
0	4
0	3
0	3
0	0
2	3
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	168
2	4
2	1
0	69
0	85
0	88
0	90
0	93
0	88
0	88
0	93
0	90
0	86
0	85
0	88
0	58
0	15
0	0
0	2
0	0
21	0
58	0
25	0
151	0
99	0
46	0
0	0
113	0
171	0
186	0
92	48
92	0
0	0
1086	86
113	184
51	170
0	0
0	0
0	1141
0	1141
0	0
18	1301
0	2241
0	2350
2	203
0	1549
35	888
30	761
0	925
0	1038
513	13
20	6
2	6
79	2678
186	2673
0	2673
233	1
533	47
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	4
0	4
0	3
0	1
0	0
42425	0
193874	1
579	49
17	2
29	0
0	47
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	17
0	17
0	0
0	0
0	0
7	4
0	0
0	0
0	0
6	10
0	11
0	11
0	0
14	17
193	2
0	0
0	0
2	0
1	2
0	2
0	0
0	0
193	1545
0	1492
0	1357
138	17
21	140
0	0
0	1389
0	1688
0	1690
39	1692
0	1093
0	660
0	56
0	96
63	0
1	0
0	0
0	0
36	43
0	0
0	0
0	0
0	0
0	0
0	0
0	101
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	91
0	91
0	0
0	0
0	0
0	0
0	0
0	0
0	157
133	156
2	48
3	0
0	62
0	219
0	74
3	195
0	41
0	36
0	118
0	183
5	19
41	3
0	7
5	9
0	74
6	74
0	7
0	558
0	578
0	548
0	561
0	552
0	501
0	588
0	442
0	656
0	60
0	35
0	16
0	685
0	716
0	69
5	19
0	66
0	66
0	0
0	0
0	0
0	0
0	0
0	0
0	18
0	18
2	8322
0	0
0	15238
0	14921
0	15592
0	15010
0	15671
0	15618
0	3201
0	15722
2849	3006
97	16624
6821	18055
0	16024
214	1281
0	4
2	0
64	28
13	0
1	0
474	0
1	604
0	587
0	648
0	66
0	74
0	99
0	19
0	122
1	11
34	0
194	0
4	11
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
33	3377
0	2627
0	1064
0	2680
0	3259
0	3064
0	443
0	83
0	374
1	136
0	858
20	197
0	118
9	184
8	2394
34	2310
56	2465
15	114
0	132
0	534
188	153
44	493
0	12
0	478
91	1
0	0
0	0
1233	0
54	0
0	520
0	967
0	952
0	980
0	996
0	979
3	922
0	967
9	382
0	828
15	32
0	36
0	207
0	10
10	222
0	63
6	27
150	24
85	102
0	45
0	224
0	229
0	226
0	205
0	222
0	212
0	213
0	215
61	14
0	10
2	6
0	37
0	92
0	170
0	170
0	176
0	212
0	209
0	195
0	0
0	169
7	8
0	4
15	29
5	0
2	0
0	739
11	724
0	278
215	35
7	26
59	30
0	401
0	279
1	288
0	368
0	246
1	246
6	34
3	24
0	120
0	120
0	722
0	730
0	721
0	713
0	23
0	51
10	156
0	68
2	79
11	84
0	45
28	0
70	0
0	340
0	352
0	357
1	354
2	364
3	364
39	0
0	36
0	25
0	9
0	16
25	1
0	49
1	67
0	47
0	47
0	47
0	29
0	0
0	27
0	27
1	16
0	0
278	2221
0	2221
429	1097
547	11
0	611
0	610
106	621
9	7
14	10
0	50
0	49
2	11
5	30
0	0
2	0
0	0
2507	49
440	49
163	0
2	28
0	259
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	76
26	77
3	25
0	148
0	148
0	147
0	136
0	318
0	315
0	322
0	319
0	320
0	321
0	140
0	130
0	112
0	282
3	1
16	0
0	1
0	99
0	282
12	0
0	87
0	90
22	1
0	14
26	0
846	13
1	496
46	504
0	273
64	475
1	483
1	220
283	21
0	93
0	95
1	119
0	95
0	118
0	37
0	11
0	0
0	0
5	0
0	100
0	161
0	171
0	266
0	260
0	260
5	0
0	7
0	18
0	19
0	18
0	19
0	18
0	18
0	16
0	16
0	24
0	39
0	40
0	26
0	7
6	5
33	37
0	40
2	131
71	132
0	56
0	62
0	200
3	359
0	355
24	31
0	180
0	75
110	687
105	705
5	10
11	7
8	54
26	10
23	0
1	0
23	81
0	0
0	0
0	0
0	0
17	1124
1	1082
0	1053
0	661
0	363
2	227
16	177
25	96
3826	281
2	717
253	717
0	593
0	1011
0	812
0	1027
0	1026
0	1027
0	812
0	1017
0	1003
0	353
0	101
0	8
7	63
7	58
0	13
75	0
9	0
1	11
0	6
0	6
0	0
0	5
1	15
0	13
1	0
0	0
0	0
0	0
0	0
799	11
59	11
0	11
16	379
14	373
0	4
0	4
40	0
19	0
11	13
7	20
4874	12255
1192	76
0	137
12	383
0	383
51	20
3	268
0	537
0	1041
16	0
190	954
81	21
0	46
98	0
8	0
14	46
11	6
0	7
1	0
0	7
0	0
0	4560
0	4620
0	4733
1	4737
0	4591
0	4586
0	4722
0	3815
0	4527
0	4639
0	4620
1	4750
0	4745
49	4462
385	20
73	30
9	11
6	0
89	62
28	13
34	38
40	0
173	280
1	280
62	23
0	1204
18	1235
67	1235
113	1
88	1318
270	1329
3884	478
1163	11
3	0
198	156
10	0
167	1
0	0
0	0
0	40
0	0
0	40
0	40
0	0
0	40
0	143
0	141
0	203
0	79
0	201
0	48
0	81
0	208
0	0
0	0
34	34
0	0
0	0
0	0
9	0
0	60
0	61
0	55
1	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
208	274
33	201
0	0
0	0
4	135
78	0
83	19
2	0
0	0
0	0
1	449
3	467
16	462
34	0
3	59
0	18
0	18
385	0
157	0
22	0
5	0
0	249
1	0
0	19
14	317
0	317
7	16
49	0
2	0
0	188
0	193
0	187
0	181
0	165
0	175
1	164
1	194
0	147
22	0
0	21
0	26
0	5
0	2
0	3
28	7
0	7
0	7
0	0
0	0
22	1541
67	1541
261	36
497	67
240	144
0	0
0	10
0	0
2	10
0	0
7	0
10	0
0	130
0	119
0	130
0	136
0	127
0	145
0	309
0	302
0	319
0	281
0	314
0	283
0	278
0	111
0	99
2	105
0	79
0	98
0	86
0	19
0	26
3	20
0	22
0	22
0	27
0	15
0	31
4	205
0	150
0	149
1	118
0	149
0	36
0	27
5	168
0	190
0	195
0	7
0	180
0	172
0	194
0	9
2	1287
0	1257
0	1202
0	1250
0	1275
0	1309
0	1295
0	100
0	68
668	141
0	406
6	328
0	159
0	156
0	3
0	0
8	11
0	2
13	2
0	2
0	0
0	1
0	3
0	1
0	2
0	0
0	2
0	2
0	0
0	2
0	30
0	22
24	33
0	18
0	1
0	3
0	1
0	0
0	4
0	0
1	735
0	688
0	708
0	640
0	629
0	616
0	693
32	78
0	78
0	722
0	589
0	634
0	480
14	6
110	0
0	32
0	441
97	27
276	508
0	381
0	381
4	1
252	0
0	12
0	0
0	0
0	0
0	0
0	3
4	3
0	0
0	0
706	470
0	294
0	496
0	56
0	35
0	0
0	6
0	0
15	44
28	17
13	0
0	1
26	2
0	1
0	1
0	0
0	2
22	0
140	1
48	0
472	19
164	58
0	212
0	220
0	364
0	410
0	427
0	445
0	499
0	489
0	487
1	449
0	455
37	2
0	33
0	7
0	7
3	26
0	92
0	0
0	53
0	8
65	74
0	2
13	33
0	22
0	9
0	9
1	60
36	1181
6	1181
512	102
0	728
0	536
0	542
0	223
0	32
4	19
7	19
0	23
0	1691
0	1793
0	1763
0	1863
0	1872
0	1896
0	1734
0	1750
0	38
0	56
0	115
3	55
42	73
0	188
2	265
0	72
1	22
0	0
4	2736
0	2498
0	2665
34	2727
0	911
2	207
584	62
0	88
0	23
3	0
27	0
7	0
0	390
0	318
7	388
0	161
309	79
0	161
0	300
0	958
0	1062
0	1496
0	1600
0	1591
0	1148
10	735
0	165
32	477
5	4
0	59
0	96
0	90
0	66
1	66
0	37
0	23
0	5
0	5
0	39
2	245
0	67
0	275
0	11
0	220
0	38
0	187
0	216
0	0
0	0
0	16
0	165
94	0
0	16
0	16
0	16
0	0
0	0
0	0
0	66
0	67
0	66
0	66
0	53
55	5
0	5
0	5
0	5
0	3
11	21
189	15
0	196
0	204
0	235
0	132
0	240
0	137
1	119
0	27
7	160
0	69
0	94
0	107
5	64
0	278
0	293
0	243
1	205
0	431
0	438
0	74
0	32
2	0
3	32
0	0
11	0
215	6
58	0
27	1
12	4
134	3
0	1
0	3
0	3
0	3
0	0
0	0
0	0
0	2
4	7
0	92
0	1
0	3
0	3
0	3
0	0
0	0
0	0
7	2
109	5
400	2
237	0
456	0
129	0
134	0
169	0
21	0
48	0
148	0
0	0
0	0
6239	0
34	154
1	148
111	67
63	1414
0	1419
0	1432
162	92
0	207
0	94
1305	359
25	352
50	6
24	112
37	0
2	976
0	689
1	1014
0	1005
0	1111
31	1041
0	319
7	515
0	173
68	17
0	41
0	41
22	0
0	11
0	11
0	2
0	2
0	2
0	2
1	0
3	0
113	0
34	5
74	0
0	26
0	26
0	26
0	1
0	0
0	0
0	0
0	0
0	0
0	0
2	65
0	0
0	0
6	25
0	277
5	26
32	65
0	0
87875	0
0	118
0	104
0	113
0	91
0	96
0	108
0	4
0	0
0	1
0	9
17	0
220	6
0	164
0	177
0	174
0	122
0	122
0	121
0	43
0	57
0	28
1	7
21	0
0	7
1	23
0	31
170	58
0	0
0	0
0	8
0	4
1	54
0	1
0	50
0	50
0	8
0	32
0	0
0	3
0	49
0	44
0	43
0	32
0	12
0	26
0	57
0	57
5	6
0	2
0	0
0	32
0	49
0	43
0	49
0	0
0	8
1	0
0	540
0	767
1	584
0	571
0	538
0	475
0	42
4	50
8	25
57	38
1	76
16	72
187	181
0	101
0	110
0	113
0	30
0	104
0	0
0	0
0	0
1	6
0	0
0	0
0	0
0	2
46	46
2	51
2	1
32	17
0	1
28	28
5	0
438	212
186	48
3866	214
368	220
726	18
19	39
20	1253
0	3544
0	3078
0	3481
0	4999
1	4055
1	4796
21	938
74	1148
0	2097
0	3494
0	3431
0	3028
0	1997
0	421
0	416
0	2867
5	2718
11	185
71	510
34	0
18	136
1	150
30	120
17	79
3	33
0	308
0	314
0	321
0	114
0	102
0	33
0	30
0	284
0	39
0	330
2	368
26	366
0	114
0	0
0	5
9	21
0	24
0	18
6	23
0	315
0	328
0	327
0	352
0	366
0	177
0	88
0	15
5	4
0	5
5	5
598	0
4	790
29	16
12	0
0	607
7	31
0	171
0	165
0	587
0	609
0	574
0	58
6	4
10	21
8	10
0	159
0	589
0	168
31	6
0	258
0	98
0	538
0	556
42	12
52	906
31	906
245	60
10	0
12	794
7	792
0	360
7	38
0	1
0	212
1	51
7	51
31	14
16	18
23	35
0	75
0	94
0	92
0	94
0	108
0	13
0	0
0	0
0	0
0	0
0	0
0	0
4	70
3	68
4	70
4	66
0	7
0	7
0	54
0	227
0	282
0	292
0	292
0	293
0	285
0	170
0	90
0	99
0	4
0	103
0	103
0	103
0	103
0	0
0	0
0	0
0	103
0	0
82	784
0	784
140	0
196	3
35	0
22	0
225	47
0	1
34	0
1125	296
3	274
279	4
10	0
1310	46
1	0
3	0
90	46
0	0
0	0
1	10
23	26
60	0
146	0
2138	15
258	17
4637	1
49	0
67	5
18	0
42	6
0	526
19	526
30	4
0	2
23	0
20	0
69	0
6	339
0	329
2	340
0	336
16	339
11	10
8	5
0	95
0	85
9	44
5	164
0	161
0	173
0	170
1	142
0	28
14	8
0	150
0	114
3	197
1	19
11	0
114	1
0	817
0	1067
0	1060
0	1052
0	1047
4	78
45	20
0	285
0	139
0	25
0	23
0	134
0	128
0	294
0	409
0	334
0	412
0	410
0	369
58	0
833	2
0	410
0	446
0	451
0	410
0	415
0	478
0	473
0	442
12	444
0	449
355	169
0	59
0	86
311	17
0	0
0	0
0	0
11	6
0	0
1	4336
140	149
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
4	0
0	0
6	1423
0	7
0	7
0	7
0	0
0	0
0	0
0	1
1	1
0	20
0	20
0	0
0	0
0	0
3	20
7	0
0	0
6	0
0	22
0	204
0	206
0	202
0	208
6	33
6	28
0	126
0	124
0	195
2	4
3	0
6	0
20	0
15	0
0	1
16	0
30	22
12	10
18	0
12	0
0	0
0	0
0	44
0	0
7	489
4	22
0	331
0	329
0	95
0	93
0	324
2	326
8	1482
0	1918
0	1822
0	0
1	0
0	3162
0	3118
1	3354
0	1530
0	1497
0	1436
13	10
45	3
73	859
20	848
19	0
201	127
42	261
0	2389
1	2279
0	2283
0	1918
50	2756
1	764
0	402
0	1572
0	1526
53	439
0	174
35	395
126	201
0	1
0	4
5	0
0	23
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	221
0	0
0	0
0	2
0	2
0	2
0	0
0	4
0	0
0	2
0	4
0	0
0	2
0	0
0	2
0	0
0	14
0	0
0	14
21	0
0	0
0	0
0	160
0	118
0	170
0	176
0	219
0	218
0	176
0	90
0	101
0	165
0	38
3	16
12	2
3	33
4	0
0	0
0	0
0	0
9	69
0	453
0	427
0	431
0	133
0	119
6	96
4	0
0	37
3	26
11	12
8	0
7	0
1	16
0	0
37	0
23	0
0	928
0	1037
0	1110
0	1121
0	939
0	167
0	169
0	261
0	129
119	29
0	159
7	184
28	176
0	26
51	2
0	27
9	1
0	0
3	144
0	143
2	186
0	186
24	268
0	314
0	314
0	63
0	164
49	0
0	20
0	0
625	688
0	15418
0	10226
0	0
0	0
0	0
0	0
2	7
0	0
3	1
0	1
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
4	2
0	16
0	16
0	2
7	0
0	832
0	985
4	830
0	524
0	70
17	804
0	804
0	814
0	808
0	806
0	816
46	1
241	0
0	0
0	0
0	0
