UniqueCount	AmbigCount
0	3
0	0
3	0
0	54
0	95
0	91
0	36
0	65
3	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
26	25
0	0
2	21
0	165
0	90
0	347
4	396
0	38
0	222
28	87
1	45
0	226
0	564
0	167
0	2300
8	614
0	157
0	91
0	39
0	182
0	103
0	75
0	104
0	144
360	2227
7	2202
34	226
0	205
395	160
22	4
13	2
42	3
3	0
59	5
2	0
8	1
0	131
5	125
0	124
0	18
0	18
0	11
0	7
9	1
4	0
77	248
0	248
0	0
1	0
382	0
89	0
135	0
50	0
18	0
0	0
0	0
0	0
0	0
0	1
0	1
0	3
498	6
48	5
0	691
0	429
0	2599
0	2541
0	3523
0	3427
0	3517
0	539
391	0
61	0
8	37
0	2697
0	3799
0	3543
1	768
0	86
0	2597
0	3432
0	1551
1429	334
0	2915
0	1124
0	2057
0	2867
0	1014
0	195
43	239
15	21
0	88
0	301
147	29
10	766
47	5
0	0
0	48
0	48
0	48
0	48
0	48
0	48
0	48
0	48
0	48
0	48
0	48
0	0
0	0
0	1
0	1
0	0
0	1
0	1
0	48
0	48
0	0
0	0
0	0
0	0
0	0
82	117
489	3049
2529	110
6	3029
0	398
10	0
2	64
0	0
115	2
8	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
6	5
0	0
0	22
0	1
0	0
0	0
0	12
0	0
244	0
0	9
0	9
0	5
2	0
13	0
0	0
1	2729
0	1810
0	25
0	26
0	6
5	1
0	2
0	439
0	450
0	491
0	480
0	480
0	491
0	221
0	155
0	141
2	26
0	23
1315	176
0	494
0	493
0	68
0	1327
0	1522
79	1501
0	988
0	16
0	16
182	131
0	0
3	1497
7	1493
0	1180
1870	116
605	19
21	0
30	0
29	0
41	16
0	121
0	203
0	199
0	315
0	314
0	310
0	310
0	202
0	204
0	203
0	313
0	27
0	223
0	221
0	3
0	23
0	0
23	7
8	0
0	0
0	3
0	3
0	3
0	3
0	2
0	2
1	0
0	2
0	0
570	433
192	28
200	412
0	86
0	350
138	0
0	205
0	723
0	656
0	680
0	708
51	78
0	88
2	99
0	117
0	104
0	163
0	607
0	91
0	32
0	25
0	145
0	441
0	27
350	6
443	2
45	68
0	34
0	297
14	7
0	28
0	219
1	12
5	48
0	1241
0	2645
16	142
0	87
0	1552
0	37
528	142
0	9
5	1366
622	380
751	177
54	0
0	0
0	0
144	603
3	25
0	0
0	0
0	0
0	0
4	196
0	0
0	96
0	0
0	0
22	0
0	96
0	96
0	0
0	0
0	0
0	6
0	1
45	1520
4	0
0	17
0	17
0	17
0	17
0	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
9	1980
0	1964
0	2104
0	2026
7	2087
0	1992
0	1404
18	21
32	192
168	401
17	736
46	724
223	193
35	169
0	83
4	0
0	1186
40	1186
10	0
7	11
260	130
1	18
0	0
0	0
0	0
0	6
0	11
0	11
0	11
0	12
0	0
0	2
0	90
5	4312
82	250
3	0
0	0
0	1082
1	12
0	3
0	0
0	2
0	20
0	15
0	1
94	248
11	248
13	4
9	0
0	0
13	5
5	14
0	0
0	2617
9	4060
0	8338
24	10746
4	7672
0	2532
0	5915
16	4488
62	80
0	63
0	91
0	122
0	115
0	109
0	111
0	108
0	0
1	0
0	0
0	251
0	254
0	237
0	264
0	247
0	175
0	235
0	222
2	115
0	104
0	9
0	11
7	20
0	7
0	11
9	2
0	231
0	245
67	1
0	56
8	39
196	44
31	7
171	5
69	318
47	318
12	0
84	32
1	249
2	253
0	26
5	257
2	0
10	0
61	30
118	0
21	30
3	41
58	0
0	0
2	0
2	0
0	0
18	24
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
153	189
35	50
12	0
22	64
6	27
31	31
4	2
0	41
0	50
0	49
0	5
1	54
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
