UniqueCount	AmbigCount
2	2
0	0
0	0
0	12
0	12
0	12
0	11
0	10
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
30	14
0	0
5	38
0	176
0	86
0	471
16	536
0	41
0	282
22	98
1	52
0	183
0	466
0	122
1	2221
2	509
0	124
0	91
4	30
0	163
0	77
0	60
0	75
3	118
311	2185
4	2150
21	205
0	185
292	136
16	6
5	0
16	3
17	0
184	1
7	0
40	1
0	156
20	151
1	143
0	51
0	44
0	27
0	10
42	9
14	0
314	247
0	247
0	0
0	0
493	3
74	1
130	0
72	0
14	2
0	0
0	0
0	0
0	0
0	0
0	0
0	6
19	5
15	9
0	254
0	177
0	884
0	933
0	1370
0	1336
0	1377
0	204
229	0
40	0
1	9
0	918
0	1471
0	1396
0	284
0	31
0	884
0	1327
0	555
573	165
0	1140
0	427
0	724
0	1172
0	454
0	39
12	138
6	7
0	48
0	170
40	5
0	349
47	2
0	0
0	67
0	67
0	67
0	67
0	67
0	67
0	67
0	67
0	67
0	67
0	67
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	67
0	67
0	0
0	0
0	1
0	2
0	0
125	163
171	870
410	51
0	859
0	155
6	0
0	80
0	0
54	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	3
0	0
0	30
0	1
0	0
0	0
0	6
0	0
646	2
3	26
0	26
0	23
2	2
25	2
0	2
2	4031
0	2911
0	5
0	7
0	3
12	1
0	2
0	131
0	131
0	139
0	139
0	140
0	140
0	68
0	48
0	44
0	8
0	2
1006	184
0	452
0	452
0	44
0	840
0	936
29	930
0	627
0	10
0	10
58	107
0	0
0	935
7	932
0	729
551	95
166	11
12	0
14	0
9	0
31	13
0	61
0	512
0	516
0	566
0	566
0	572
0	569
0	512
0	510
0	510
0	568
0	3
0	513
0	520
0	6
0	53
0	0
52	11
1	0
0	0
0	2
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
591	401
163	17
141	380
0	65
0	319
62	0
0	98
0	420
0	383
0	404
0	408
27	39
0	66
8	72
0	88
0	83
0	113
0	393
0	75
0	27
0	18
0	94
3	303
0	27
250	2
355	1
36	38
0	17
0	196
11	4
0	16
0	123
0	5
2	25
0	1146
0	2563
8	101
2	97
0	1566
0	40
568	169
0	15
3	1397
752	423
989	134
46	0
0	0
0	0
96	336
3	11
0	0
0	0
0	0
0	0
6	251
0	0
0	54
0	0
0	0
9	1
0	54
0	54
0	0
0	0
0	0
0	4
0	1
24	887
13	0
0	9
0	9
0	9
0	9
0	9
0	1
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	1
0	0
1	978
0	970
0	1017
0	995
4	1009
0	972
0	652
5	7
19	131
55	350
2	318
13	319
96	102
17	96
0	55
3	0
0	1452
45	1452
5	0
9	8
200	93
5	8
0	0
0	0
0	0
0	5
0	5
1	5
0	4
0	10
0	0
0	1
0	83
4	3356
52	300
0	0
0	0
3	2208
0	1
0	0
0	0
0	0
0	18
0	18
0	0
62	165
12	165
13	3
5	0
0	0
1	8
3	9
0	0
0	2962
30	3981
0	7900
61	9918
2	7020
0	2476
0	5149
13	3800
97	110
0	88
0	112
0	35
0	33
0	34
0	41
0	34
0	0
0	0
0	0
0	135
0	142
0	126
0	136
0	132
0	102
0	130
0	124
0	41
0	38
0	1
0	7
3	4
0	4
0	2
24	1
1	237
0	242
46	0
0	39
5	30
152	34
18	4
105	5
66	302
48	302
19	0
48	37
2	268
1	263
0	29
6	276
1	5
1	1
72	27
100	0
43	26
1	46
66	0
0	0
0	0
9	0
5	0
8	23
5	0
6	0
8	0
2	0
1	0
9	0
9	1
0	0
2275	147
343	36
12	0
51	61
8	25
57	29
8	0
0	101
0	129
0	125
0	12
1	131
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	5
0	0
0	0
0	0
2	457
1	383
0	751
0	1083
0	656
0	628
0	960
0	0
1	5
0	0
0	0
0	0
0	0
0	0
2	23
0	0
1	0
0	0
0	0
0	0
2	0
0	0
13	0
1311	0
0	0
0	0
1	38
0	53
0	0
0	0
0	6
0	52
0	6
0	0
0	4
0	4
138	4
4	11
0	11
40	130
0	6
0	1
0	0
0	5
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	175
7	1
0	1
0	50
0	54
0	55
0	55
0	55
0	55
0	55
0	55
0	55
0	55
0	54
0	55
0	45
0	3
0	0
0	2
0	0
2	0
48	0
23	0
108	0
102	0
23	0
0	0
128	0
104	0
169	0
79	67
111	0
0	0
1213	84
118	191
