UniqueCount	AmbigCount
4	1
0	0
15	0
0	83
0	144
0	139
0	55
0	93
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
72	29
0	0
3	21
0	278
0	135
0	506
8	605
0	58
0	340
35	167
4	73
1	270
0	987
0	261
0	3431
22	1061
0	229
0	132
1	75
0	305
0	159
0	113
0	149
0	111
583	3340
7	3301
40	358
0	315
358	140
22	4
20	0
15	0
9	0
72	0
0	0
28	0
0	111
9	110
1	109
0	20
0	17
0	11
0	9
6	2
2	0
47	142
0	142
0	0
0	0
594	4
76	2
101	1
35	0
12	1
0	0
0	0
0	0
0	0
0	0
0	0
0	6
564	2
51	10
0	397
0	382
0	3041
0	3040
0	4529
0	4392
0	4569
0	552
342	0
87	0
2	69
0	3195
0	4943
0	4644
0	519
0	110
0	3040
1	4413
0	1838
1140	304
0	3859
0	1202
0	2251
0	3597
0	1377
0	159
31	361
26	32
0	127
0	477
130	48
5	1105
52	0
0	0
0	19
0	19
0	19
0	19
0	19
0	19
0	19
0	19
0	19
0	19
0	19
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	19
0	19
0	0
0	0
0	0
0	0
0	0
252	357
657	3600
2310	104
3	3567
0	417
18	0
0	81
0	0
90	0
34	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	6
0	0
0	40
0	0
0	0
0	0
0	21
0	0
456	1
0	19
0	19
0	14
0	3
20	0
1	0
1	3767
0	2350
0	12
0	12
1	3
7	4
0	0
0	575
0	588
0	647
0	634
0	642
0	655
0	328
0	223
0	199
0	23
0	31
1694	183
0	630
0	630
0	68
0	1702
0	1972
121	1934
0	1350
0	11
0	11
143	116
0	3
0	1936
3	1932
0	1596
1255	115
449	36
12	0
21	0
25	0
48	12
0	87
0	200
0	199
0	283
0	283
0	281
0	280
0	200
0	201
0	201
0	282
0	8
0	206
0	206
0	0
0	10
0	0
52	11
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
932	730
140	24
163	692
0	141
0	616
132	0
0	203
0	612
0	553
0	578
0	597
52	82
0	118
2	128
0	153
0	143
0	182
0	537
0	124
0	39
0	33
0	162
0	380
0	50
261	0
433	4
26	36
0	23
0	226
8	3
0	28
0	190
0	8
0	44
0	1703
0	3352
12	182
0	108
0	1826
0	30
478	120
0	13
1	1577
510	423
719	121
108	0
0	0
0	0
71	330
2	17
0	0
0	0
0	0
0	0
14	521
0	0
0	52
0	0
0	0
12	0
0	52
0	52
0	0
0	0
0	0
0	1
0	0
25	1060
6	0
0	21
0	21
0	21
0	21
0	21
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
6	2508
0	2516
0	2630
0	2562
