sample.id	condition	batch
sample1.CDa	CDa	batch3
sample2.CDa	CDa	batchA
sample3.CDa	CDa	batch3
sample4.CDa	CDa	batch3
sample5.CDa	CDa	batch3
sample6.CDa	CDa	batchA
sample7.CDa	CDa	batchB
sample8.CDa	CDa	batchB
sample9.CDa	CDa	batch4
sample10.CDa	CDa	batch4
sample11.CDa	CDa	batchB
sample12.CDa	CDa	batchB
sample13.CDa	CDa	batchB
sample14.CDa	CDa	batch4
sample15.CDa	CDa	batchB
sample16.CDa	CDa	batchB
sample17.CDa	CDa	batch4
sample18.CDa	CDa	batchB
sample19.CDa	CDa	batchB
sample20.CDa	CDa	batchB
sample21.con	con	batchA
sample22.con	con	batch3
sample23.con	con	batchA
sample24.con	con	batchA
sample25.con	con	batchA
sample26.con	con	batchB
sample27.con	con	batchB
sample28.con	con	batchB
sample29.con	con	batchB
sample30.con	con	batchB
sample31.con	con	batchB
sample32.con	con	batchB
sample33.con	con	batchB
sample34.con	con	batchB
sample35.con	con	batchB
sample36.con	con	batchB
sample37.con	con	batchB
sample38.con	con	batchB
sample39.con	con	batchB
sample40.con	con	batchB
sample41.con	con	batchB
sample42.con	con	batchB
sample43.con	con	batchB
sample44.con	con	batchB
sample45.con	con	batchB
sample46.con	con	batchB
sample47.con	con	batchB
sample48.con	con	batchB
sample49.con	con	batchB
