macro.area	region
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Apulia.north
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Calabria
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Sicily
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
