GeneID	GeneClass
SCN1A	ion channel
CDK6	cell cycle
TRPA1	Ion channel
TPMT	Drug metabolism
E2F1	Cell growth
TYMP	Cell growth
GATA2	Transcription factor
XPC	DNA damage
TNNT1	Cell growth
CDKN1B	cell cycle
ATRIP	cell cycle
VEGFC	Cell growth
DDB1	DNA damage
CCND1	cell cycle
CDK7	cell cycle
LIG1	DNA damage
CDK4	cell cycle
ABCA1	Drug resistance
KCNMA1	Ion channel
MVP	Drug resistance
CDKN2A	cell cycle
CCNE1	cell cycle
TPCN1	Ion channel
GATA1	Transcription factor
ABCC2	Drug resistance
BMP2	Cell growth
CYP11B2	Drug metabolism
BAX	Drug resistance
INHA	Cell growth
MYC	Transcription factor
EREG	Cell growth
RB1	Drug resistance
KCNN3	Ion channel
VEGFA	Cell growth
PPARG	Transcription factor
ERAP1	Cell growth
ARNT	Transcription factor
FGF1	Cell growth
HCN1	Ion channel
ATR	DNA damage
BMP1	Cell growth
ABCG2	Drug resistance
CYP2B6	Drug metabolism
TP53	Drug resistance
AHR	Transcription factor
SUMO1	DNA damage
CDKN1A	cell cycle
JAG1	Cell growth
CYP3A5	Drug metabolism
TOP1	Drug resistance
