GeneID	pat1	pat2	pat3	pat4	pat5	pat6	pat7	pat8	pat9
SCN1A	-2.677269762	6.088953694	1.304445844	5.958305166	3.076576556	0.243499504	1.451191306	3.249117091	2.076230603
CDK6	0.080913385	-1.27687904	5.557278358	-2.529567338	1.519118744	4.353742633	5.115841562	6.916870858	4.634272227
TRPA1	-5.763651748	-3.772302183	0.470120487	7.937958248	1.481065223	-0.511813368	-1.734951776	1.58180052	1.201521782
TPMT	0.41243287	-1.425346274	-6.706690068	1.226258287	-0.216106407	-5.79465637	-8.2176704	-8.871375887	-8.18550648
E2F1	1.373801363	2.354587106	1.04242281	-5.727612223	-3.466794017	1.548441566	1.798694957	2.602976133	2.156332829
TYMP	NA	-2.450139687	4.743086226	10.10996622	0.118580004	4.051988187	5.395050582	2.998898555	4.94457275
GATA2	-0.478002422	2.448505048	-1.63456694	7.040672994	2.660059102	-2.064335698	0.123862294	-1.564482587	-1.677824701
XPC	-3.300756686	12.48290499	1.590759414	0.010193331	-4.751283009	3.241182066	2.865052348	3.063414327	1.888276814
TNNT1	0.014976869	0.717452971	2.058798844	-5.504951908	-2.14381597	2.175235283	2.551127404	1.837959729	2.253527566
CDKN1B	-4.296422225	-4.201062368	1.536588561	-3.650931779	1.136947094	2.120250803	1.245738367	3.336917799	2.335922403
ATRIP	-2.372054553	-3.257967917	3.767711721	3.652327441	2.18984046	4.563790482	2.932932028	4.766317474	3.247650561
VEGFC	9.75173316	0.510777742	0.492470815	2.151161115	-1.352195968	-0.528886453	1.221896234	1.424225303	0.78418959
DDB1	-4.741876891	1.777617065	-1.891151774	5.965332445	-2.146476533	-0.914396915	-0.754072786	-3.070008662	-1.293099976
CCND1	-0.746881376	-0.18294499	1.86801124	3.451798458	9.085259451	3.549973955	0.894122507	2.572567177	2.503757905
CDK7	-0.836419082	-0.523183209	12.55950361	0.160748115	-3.745329458	12.14078645	12.10245157	11.10925321	10.2334689
LIG1	0.347231556	1.272783905	-0.618056493	4.16133538	-7.814539891	0.126276959	0.003039908	-0.428158584	1.858761797
CDK4	0.314497919	1.927039052	1.371526423	-2.141664077	10.82851383	3.75904502	1.91604266	1.500412541	1.972132878
ABCA1	0.322687797	1.540425892	-4.769608125	-6.607639077	-2.714802776	-3.982649124	-5.0034991	-4.578703002	-2.252292486
KCNMA1	0.603653299	0.868362666	-7.528600873	1.959409336	4.037105452	-9.865278507	-5.836234482	-7.384946894	-8.517485523
MVP	0.083790203	-0.281259198	-1.342144106	-3.795690146	6.777944095	-1.578809756	-1.734637766	-1.081199478	-2.253339748
CDKN2A	-1.181841305	-1.558847254	2.480611938	-5.581522993	3.227202631	2.617873093	2.653424777	3.483866649	2.575651425
CCNE1	-1.7029375	-2.044913159	5.629624044	1.311736595	0.81225975	6.361965133	5.635763522	6.936656816	5.797395222
TPCN1	-1.881567496	-2.140696254	-0.283121562	7.501355536	1.170000974	0.021166027	-1.197365864	-0.421671286	0.622411614
GATA1	0.291389635	7.214784131	-1.866212567	1.41715549	-2.201028195	-1.549636037	-1.602379749	-1.742873972	-0.434606411
ABCC2	3.7887317	-2.245587114	-3.341474397	-2.124188693	2.011578867	-2.476703202	-2.283595306	-2.856267241	-4.391704232
BMP2	1.452472947	1.89277823	1.210490833	-4.091117817	-4.968153752	1.052925778	-0.469143176	1.278885384	1.411376455
CYP11B2	-1.720225591	0.461630786	-6.225352404	1.530132102	-1.481799516	-7.5148098	-4.988488624	-6.716369727	-4.109181654
BAX	3.358041601	3.538137443	-1.619300858	-5.405667482	-2.955127758	-1.465264597	-1.351058331	-1.149368054	-1.287891317
INHA	1.932688231	-2.524564067	1.641650426	-5.495698147	-0.944290281	0.107202491	1.799926901	1.910581269	1.029665865
MYC	-1.403240356	2.965508489	-4.345306803	1.924200314	4.113041823	-4.593815704	-3.243203497	-2.251000285	-0.705748094
EREG	5.897583651	4.545222309	6.3205243	-3.523156733	0.161483637	5.766728674	6.403856325	7.232709988	6.530968389
