Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
Gene1	6	0	3	3	4	1	2	0	0	5
Gene2	21	23	1	12	0	4	10	20	26	15
Gene3	47	51	47	32	9	59	71	41	51	22
Gene4	58	70	99	54	53	70	91	104	46	59
Gene5	37	85	51	52	17	57	57	162	142	48
Gene6	73	98	138	95	39	49	58	64	72	31
Gene7	2	27	3	4	0	1	29	6	23	0
Gene8	4	3	16	7	0	5	1	43	12	7
Gene9	0	0	0	1	0	0	0	1	19	6
Gene10	68	44	47	64	18	111	172	93	183	48
Gene11	75	108	15	20	9	79	31	60	57	65
Gene12	16	10	2	17	2	8	0	10	44	5
Gene13	17	10	17	6	0	6	5	4	3	6
Gene14	138	260	135	91	33	107	98	88	87	50
Gene15	46	0	10	1	5	5	4	8	1	1
Gene16	28	47	30	26	4	2	8	15	18	9
Gene17	40	35	69	21	11	70	21	46	69	33
Gene18	6	0	11	3	0	3	1	5	6	0
Gene19	82	65	122	113	41	16	15	43	35	5
Gene20	43	99	139	59	18	286	214	325	187	233
Gene21	18	7	0	6	10	3	0	0	1	0
Gene22	0	3	5	4	3	0	14	6	12	0
Gene23	91	62	33	40	8	498	152	426	363	35
Gene24	738	738	251	172	102	888	583	792	589	569
Gene25	0	2	0	0	0	0	35	21	27	1
Gene26	591	522	624	489	73	129	289	291	374	282
Gene27	14	1	2	2	1	58	9	42	21	22
Gene28	11	2	6	5	0	0	1	3	5	0
Gene29	8	3	11	15	0	32	50	56	42	43
Gene30	6	5	0	0	0	4	4	1	4	0
Gene31	31	18	13	33	10	42	14	21	55	24
Gene32	71	19	40	20	13	38	36	28	43	0
Gene33	10	10	17	21	1	293	86	116	79	132
Gene34	243	132	127	170	23	63	52	66	80	91
Gene35	37	62	41	106	6	229	134	41	49	52
Gene36	7	8	19	13	9	25	18	78	85	150
Gene37	18	11	15	6	10	5	21	10	15	9
Gene38	0	13	2	3	0	1	0	1	0	1
Gene39	0	8	2	0	0	0	2	1	4	3
Gene40	152	71	30	21	15	1232	532	1045	494	494
Gene41	10	14	0	0	0	2	1	1	1	0
Gene42	8	35	2	0	0	4	1	3	1	6
Gene43	14	15	24	6	0	22	30	12	13	38
Gene44	0	1	0	0	1	2	16	1	13	0
Gene45	43	25	57	16	0	117	29	172	58	78
Gene46	137	58	78	192	8	89	91	66	145	82
Gene47	19	10	7	2	0	1	16	10	3	7
Gene48	0	0	0	1	0	1	0	0	5	0
Gene49	0	5	3	2	0	0	2	5	6	1
Gene50	10	15	8	4	0	17	4	11	4	0
Gene51	35	14	8	12	5	14	8	38	16	24
Gene52	8	7	3	0	0	2	0	0	1	1
Gene53	5	2	8	9	1	1	18	13	24	23
Gene54	3	35	12	44	7	4	2	7	2	5
Gene55	8	3	2	1	0	0	4	1	17	30
Gene56	412	633	1076	347	78	75	121	111	91	120
Gene57	0	1	3	0	1	0	0	0	0	1
Gene58	55	98	34	126	4	11	11	17	18	17
Gene59	127	133	159	108	6	115	75	179	89	126
Gene60	0	1	4	0	0	2	2	1	2	0
Gene61	2	4	7	4	0	7	0	14	2	1
Gene62	0	2	4	1	0	5	16	1	24	11
Gene63	45	60	114	129	14	113	105	96	153	107
Gene64	11	23	39	28	4	36	20	16	54	25
Gene65	7	6	3	0	4	3	3	1	0	2
Gene66	22	0	8	0	0	0	0	1	1	0
Gene67	9	12	5	2	0	4	0	4	3	4
Gene68	8	14	12	35	4	15	3	8	21	4
Gene69	1	4	4	10	2	57	7	25	84	72
Gene70	44	12	11	6	6	12	5	10	12	8
Gene71	151	167	94	75	27	52	51	97	94	50
Gene72	8	11	10	5	1	0	5	8	1	5
Gene73	0	11	1	9	0	0	0	0	1	1
Gene74	26	6	5	16	0	1	3	12	7	3
Gene75	4	15	7	6	0	5	0	0	4	1
Gene76	84	29	34	26	0	33	23	32	31	26
Gene77	22	3	5	11	1	6	16	5	7	5
Gene78	9	4	2	1	0	2	3	0	1	14
Gene79	43	13	9	6	2	35	21	57	26	31
Gene80	2	9	12	8	2	11	35	2	8	8
Gene81	13	16	0	9	4	2	1	4	4	3
Gene82	110	103	47	58	2	24	37	58	78	40
Gene83	1	1	0	2	0	2	0	3	3	0
Gene84	2	1	2	3	1	1	12	19	9	1
Gene85	43	84	22	59	9	3	11	15	11	4
Gene86	100	62	25	80	12	145	147	164	423	157
Gene87	5	2	2	6	0	1	17	16	1	4
Gene88	24	9	7	9	4	2	16	49	4	10
Gene89	320	323	202	151	73	252	165	213	491	237
Gene90	1	0	3	16	0	4	16	5	20	22
Gene91	57	50	18	47	3	112	166	76	72	164
Gene92	0	3	1	11	0	0	2	3	2	1
Gene93	5	9	3	10	0	1	3	1	1	2
Gene94	10	15	12	4	3	23	28	70	111	6
Gene95	34	28	26	7	13	6	3	12	6	5
Gene96	41	56	33	52	8	176	160	269	197	197
Gene97	11	15	40	15	0	42	36	30	44	41
Gene98	26	27	62	32	13	294	116	162	192	122
Gene99	4	8	3	8	1	5	0	2	0	2
Gene100	17	5	2	0	2	15	5	3	4	4
Gene101	24	15	6	3	0	2	12	20	6	20
Gene102	5	5	3	6	0	9	2	0	1	0
Gene103	112	37	44	12	14	24	36	42	21	34
Gene104	21	6	22	8	5	1	3	0	3	4
Gene105	120	61	274	27	23	748	623	544	735	642
Gene106	95	57	76	34	7	114	267	198	247	126
Gene107	2	14	2	17	6	30	22	11	18	9
Gene108	82	39	29	87	12	213	203	293	110	335
Gene109	46	11	41	7	6	9	5	16	12	12
Gene110	48	74	78	32	14	129	97	117	343	199
Gene111	0	0	6	0	0	10	1	2	6	2
Gene112	30	41	37	24	13	7	13	5	11	11
Gene113	149	73	53	31	13	137	146	204	387	143
Gene114	9	1	30	19	0	11	1	11	4	17
Gene115	74	71	77	100	11	62	35	88	49	23
Gene116	23	15	13	3	0	42	17	80	68	32
Gene117	12	10	37	68	0	2	7	6	3	1
Gene118	23	72	31	21	6	54	73	55	86	43
Gene119	265	307	239	102	23	16	20	22	18	39
Gene120	80	56	22	37	9	489	216	977	527	492
Gene121	1	3	0	1	0	0	0	0	0	0
Gene122	321	71	158	161	39	424	299	756	296	683
Gene123	41	26	11	14	2	18	5	33	14	5
Gene124	19	47	51	19	7	73	2	17	67	22
Gene125	17	7	0	4	0	6	2	5	10	0
Gene126	107	56	83	40	24	86	56	40	53	61
Gene127	65	70	87	69	12	242	253	271	632	202
Gene128	58	76	57	34	19	15	20	21	24	27
Gene129	17	27	48	28	10	31	49	76	50	61
Gene130	38	20	18	18	0	58	68	25	61	47
Gene131	201	94	137	44	14	172	58	219	189	244
Gene132	32	56	78	62	2	16	26	27	30	11
Gene133	66	71	73	30	9	110	100	244	129	98
Gene134	1	0	0	1	0	0	0	0	0	0
Gene135	24	67	17	24	4	9	6	18	19	16
Gene136	26	46	33	5	5	3066	1553	2834	7182	1611
Gene137	15	9	6	3	4	9	6	1	31	4
Gene138	0	0	6	2	2	0	4	2	0	0
Gene139	21	18	28	23	9	70	37	78	94	45
Gene140	29	5	10	7	2	7	6	1	0	2
Gene141	15	20	9	7	1	8	12	44	31	14
Gene142	149	173	247	102	20	113	38	161	97	71
Gene143	4	11	12	5	8	2	2	9	5	2
Gene144	1	1	0	0	0	0	0	0	0	7
Gene145	37	34	43	26	11	4	4	16	35	3
Gene146	17	23	0	2	0	13	12	5	5	3
Gene147	1	3	0	0	0	0	0	5	0	0
Gene148	88	79	119	115	11	10	10	11	12	10
Gene149	8	8	14	7	5	3	2	10	3	7
Gene150	4	16	32	29	0	2	9	2	1	2
Gene151	35	19	26	38	0	81	111	119	60	138
Gene152	35	35	42	48	9	114	26	116	53	67
Gene153	54	6	18	21	0	9	9	7	11	20
Gene154	20	4	1	2	0	29	5	14	17	43
Gene155	225	419	346	60	27	170	203	262	265	179
Gene156	8	12	2	20	3	20	33	6	2	38
Gene157	0	0	1	0	0	1	0	0	0	0
Gene158	87	42	106	103	13	161	123	288	210	104
Gene159	13	24	27	7	4	1	1	1	0	0
Gene160	17	9	18	8	3	2	1	17	12	6
Gene161	0	3	9	3	0	2	4	0	4	0
Gene162	14	32	21	41	11	160	137	295	47	133
Gene163	15	1	0	4	0	0	0	13	2	0
Gene164	22	53	33	10	8	119	148	115	97	194
Gene165	6	2	0	1	0	0	1	0	0	0
Gene166	17	14	24	12	0	0	0	2	3	8
Gene167	0	0	0	6	0	0	0	1	0	1
Gene168	7	8	7	10	1	8	14	3	9	6
Gene169	156	127	115	78	13	610	319	490	627	246
Gene170	551	389	434	336	68	97	122	211	95	92
Gene171	59	30	8	48	6	14	33	27	16	8
Gene172	10	1	5	5	3	5	0	1	0	2
Gene173	47	5	20	13	0	8	14	22	17	5
Gene174	79	43	14	37	15	15	48	99	37	72
Gene175	25	29	50	31	9	2	3	26	16	11
Gene176	8	24	67	19	0	4	2	2	14	7
Gene177	50	77	40	59	26	149	116	113	134	121
Gene178	92	38	59	61	9	17	7	24	11	18
Gene179	16	4	18	9	0	98	71	108	54	8
Gene180	0	5	10	0	0	4	0	5	3	0
Gene181	14	2	8	2	2	2	3	1	0	1
Gene182	35	25	3	11	5	97	88	42	121	25
Gene183	145	89	144	51	14	64	32	73	64	87
Gene184	0	1	2	1	0	1	1	6	0	0
Gene185	4	1	3	4	0	4	4	6	6	5
Gene186	5	15	2	11	3	27	23	9	43	12
Gene187	36	12	38	18	0	136	215	162	50	85
Gene188	1	1	0	0	0	0	3	5	3	2
Gene189	0	0	0	3	0	1	0	0	0	0
Gene190	120	144	116	80	2	264	115	214	205	182
Gene191	123	27	23	69	30	72	63	54	102	77
Gene192	0	5	1	0	0	5	0	7	0	0
Gene193	206	275	200	182	51	52	6	16	68	28
Gene194	2	2	0	0	0	0	7	21	1	1
Gene195	13	0	5	7	1	18	11	64	16	3
Gene196	3	1	0	4	0	0	0	1	2	0
Gene197	17	21	11	3	0	5	0	4	10	7
Gene198	61	26	16	55	6	100	61	75	115	137
Gene199	21	10	4	0	0	1	1	0	0	0
Gene200	2	2	0	8	0	1	0	29	5	16
Gene201	71	86	79	29	26	132	120	145	227	105
Gene202	18	1	4	7	0	18	11	16	6	2
Gene203	0	20	2	0	0	1	1	1	0	2
Gene204	12	0	4	7	0	1	8	0	0	0
Gene205	29	20	30	16	11	3	8	9	23	24
Gene206	2	0	2	5	0	35	0	8	77	72
Gene207	297	128	141	166	43	165	131	143	270	146
Gene208	15	18	1	11	2	4	10	16	9	3
Gene209	69	49	105	41	12	118	267	162	244	193
Gene210	8	19	20	4	0	1	2	0	1	4
Gene211	74	81	45	37	2	61	85	173	135	81
Gene212	3	1	1	2	0	7	1	11	3	3
Gene213	5	13	8	11	0	4	14	3	7	6
Gene214	111	26	50	7	8	56	50	27	94	63
Gene215	123	134	92	108	15	368	265	633	169	439
Gene216	30	34	11	21	5	62	18	70	29	76
Gene217	26	29	5	16	1	6	6	15	15	2
Gene218	77	71	110	23	11	98	56	106	198	97
Gene219	121	70	88	78	6	45	36	78	54	87
Gene220	9	11	10	7	0	53	64	120	84	25
Gene221	17	2	0	7	2	0	0	1	7	5
Gene222	57	147	67	32	10	98	155	124	64	83
Gene223	44	40	27	25	6	4	3	8	14	6
Gene224	8	6	1	8	0	2	4	2	1	6
Gene225	85	37	46	8	6	39	84	95	38	50
Gene226	48	62	25	26	5	144	161	23	224	282
Gene227	0	1	4	0	0	0	0	0	1	0
Gene228	22	18	14	5	2	64	12	32	5	28
Gene229	4	8	7	1	1	2	4	4	4	1
Gene230	3	0	1	2	0	6	2	0	0	1
Gene231	183	89	118	96	20	126	49	78	57	35
Gene232	9	14	44	44	6	18	31	14	42	23
Gene233	1	0	2	0	0	19	1	12	17	1
Gene234	145	147	92	65	8	16	24	25	49	15
Gene235	12	19	24	12	4	39	36	59	29	35
Gene236	22	5	9	22	0	5	2	8	12	4
Gene237	2	6	10	0	0	0	3	2	13	11
Gene238	389	262	306	278	30	172	136	188	224	96
Gene239	0	7	1	3	0	21	5	4	9	5
Gene240	93	51	22	66	6	14	40	54	38	27
Gene241	18	10	23	14	0	106	188	138	61	250
Gene242	0	1	0	0	4	0	4	5	1	7
Gene243	28	12	8	27	1	199	101	84	74	35
Gene244	6	2	8	30	4	0	6	25	1	2
Gene245	4	8	4	13	6	3	16	11	6	8
Gene246	8	5	5	15	6	9	4	6	4	6
Gene247	0	0	0	0	0	0	3	0	2	2
Gene248	6	0	1	11	0	1	0	3	0	1
Gene249	12	10	5	5	0	5	2	0	0	0
Gene250	18	8	5	6	3	2	3	10	2	5
Gene251	52	37	40	29	6	6	2	34	5	4
Gene252	158	49	80	101	43	142	379	315	108	111
Gene253	11	0	16	10	6	2	1	0	0	0
Gene254	57	69	14	50	12	86	98	65	79	51
Gene255	0	8	1	5	0	0	0	3	1	1
Gene256	63	43	42	51	16	43	40	74	54	28
