tc_id	location	strand	cer	emb	liv	lun	mac	som	vis
C13F574BB4D	chr13:91536205-91536205	F	11.8468	0	3.28215	0.770272	0	4.78599	8.59513
C3F83AF23B	chr3:138080827-138080870	F	11.8468	3.16357	3.28215	5.3919	0	9.57199	8.59513
C14R30790AF	chr14:50827439-50827473	R	7.89783	3.16357	4.92323	5.3919	0	9.57199	17.1903
C5R67B8760	chr5:108758880-108758891	R	11.8468	3.16357	4.92323	5.3919	0	9.57199	8.59513
CXF7D12F28	chrX:131149608-131149609	F	11.8468	3.16357	4.92323	5.3919	0	9.57199	8.59513
C7F5DF20B4	chr7:98508980-98508980	F	11.8468	3.16357	4.92323	5.3919	0	9.57199	8.59513
C7R3916D63	chr7:59862371-59862392	R	11.8468	3.16357	4.92323	5.3919	0	9.57199	8.59513
C5F20BADAA	chr5:34319786-34319804	F	11.8468	3.16357	4.92323	5.3919	0	9.57199	8.59513
CMF2D67	chrM:11623-11634	F	11.8468	3.16357	4.92323	5.3919	0	9.57199	8.59513
C19F2CA57A8	chr19:46815144-46815183	F	11.8468	3.16357	0.820538	1.54054	5.88516	9.57199	8.59513
C1RB826F4D	chr1:193097549-193097600	R	11.8468	1.58179	12.3081	1.54054	5.88516	9.57199	4.29756
C14R1C72DCB	chr14:29830603-29830624	R	3.94892	1.58179	12.3081	1.54054	5.88516	14.358	8.59513
C8R6C848C5	chr8:113789125-113789155	R	15.7957	1.58179	3.28215	6.16217	5.88516	4.78599	8.59513
CXF4055272	chrX:67457650-67457652	F	15.7957	7.90893	1.64108	9.24326	5.88516	4.78599	4.29756
C7R47B2F64	chr7:75181924-75181930	R	11.8468	7.90893	1.64108	9.24326	5.88516	9.57199	4.29756
C14F3D5559B	chr14:64312731-64312758	F	15.7957	6.32714	1.64108	0.770272	5.88516	4.78599	4.29756
C8R385E3A	chr8:3694138-3694191	R	15.7957	6.32714	1.64108	30.0406	5.88516	4.78599	4.29756
C8R1B5D7C5	chr8:28694469-28694487	R	15.7957	6.32714	1.64108	30.0406	5.88516	4.78599	4.29756
C7F8630C39	chr7:140708921-140708994	F	15.7957	6.32714	1.64108	2.31082	5.88516	4.78599	17.1903
C6F529511C	chr6:86593820-86593840	F	15.7957	30.0539	1.64108	2.31082	5.88516	4.78599	17.1903
CXF32D36E1	chrX:53294817-53294821	F	15.7957	30.0539	1.64108	2.31082	5.88516	4.78599	17.1903
C8R665C1EB	chr8:107332075-107332103	R	23.6935	1.58179	1.64108	2.31082	5.88516	4.78599	17.1903
C2R577B96D	chr2:91732333-91732386	R	23.6935	1.58179	1.64108	2.31082	5.88516	4.78599	17.1903
C3F55FB5EE	chr3:90158574-90158578	F	23.6935	28.4721	0.820538	0.770272	5.88516	4.78599	17.1903
C12R6AECDF8	chr12:112119288-112119304	R	7.89783	1.58179	0.820538	0.770272	5.88516	19.144	17.1903
C5R637FF52	chr5:104333138-104333238	R	7.89783	1.58179	0.820538	0.770272	5.88516	19.144	17.1903
C1FB6D9180	chr1:191730048-191730053	F	7.89783	1.58179	15.5902	5.3919	5.88516	4.78599	4.29756
C10R2836AC4	chr10:42166980-42166998	R	7.89783	1.58179	2.46161	1.54054	5.88516	9.57199	8.59513
C11R616768B	chr11:102135435-102135463	R	23.6935	1.58179	0.820538	0.770272	5.88516	4.78599	8.59513
C1F22BAAF7	chr1:36416247-36416250	F	3.94892	1.58179	0.820538	0.770272	5.88516	14.358	8.59513
C19R3A71299	chr19:61280921-61281035	R	3.94892	4.74536	1.64108	6.16217	11.7703	14.358	8.59513
C5F6E70C11	chr5:115805201-115805252	F	3.94892	1.58179	1.64108	28.5001	11.7703	14.358	8.59513
C11F64E7865	chr11:105805925-105805946	F	3.94892	1.58179	1.64108	28.5001	11.7703	14.358	8.59513
C3F3B88FCF	chr3:62427087-62427181	F	3.94892	1.58179	3.28215	2.31082	11.7703	14.358	8.59513
C2R9D566B3	chr2:164980403-164980426	R	19.7446	1.58179	3.28215	0.770272	11.7703	9.57199	8.59513
C13F177B3D2	chr13:24622034-24622093	F	19.7446	1.58179	0.820538	29.2703	11.7703	9.57199	8.59513
C9R6DAC61C	chr9:115000860-115000861	R	7.89783	1.58179	4.92323	7.70272	11.7703	9.57199	8.59513
C7R731DF8B	chr7:120709003-120709004	R	7.89783	1.58179	4.10269	6.16217	11.7703	9.57199	8.59513
C11F6D5B31D	chr11:114668317-114668344	F	27.6424	1.58179	2.46161	6.16217	11.7703	9.57199	8.59513
C4R7CF8534	chr4:131040564-131040600	R	15.7957	1.58179	2.46161	10.0135	11.7703	9.57199	4.29756
C4R7A5D4C0	chr4:128308416-128308468	R	11.8468	1.58179	3.28215	9.24326	11.7703	9.57199	4.29756
C9F65CCB85	chr9:106744709-106744712	F	3.94892	1.58179	4.10269	2.31082	11.7703	9.57199	8.59513
C19F5DD71E	chr19:6149918-6149922	F	3.94892	9.49071	1.64108	13.0946	5.88516	9.57199	8.59513
C6F87C976	chr6:8898934-8898964	F	3.94892	1.58179	1.64108	0.770272	5.88516	19.144	4.29756
C4R3BF9EE1	chr4:62889697-62889731	R	3.94892	1.58179	1.64108	6.93245	17.6555	19.144	4.29756
C7R5853795	chr7:92616597-92616664	R	7.89783	9.49071	1.64108	0.770272	17.6555	4.78599	4.29756
C17R17D7BF9	chr17:25000953-25000970	R	3.94892	4.74536	4.92323	1.54054	5.88516	4.78599	4.29756
CXF94D330	chrX:9753392-9753408	F	11.8468	4.74536	4.92323	5.3919	5.88516	4.78599	12.8927
C5F44F9C82	chr5:72326274-72326284	F	7.89783	11.0725	0.820538	0.770272	5.88516	9.57199	12.8927
C13R3289DDE	chr13:52993502-52993525	R	3.94892	1.58179	0.820538	2.31082	11.7703	4.78599	4.29756
C8FC8ECB0	chr8:13167792-13167943	F	3.94892	1.58179	9.02592	5.3919	11.7703	4.78599	4.29756
C16F6A20A9	chr16:6955177-6955252	F	3.94892	1.58179	9.02592	5.3919	11.7703	4.78599	4.29756
C8F6D1F6B8	chr8:114423480-114423495	F	3.94892	1.58179	0.820538	0.770272	17.6555	4.78599	4.29756
C2R1B16E07	chr2:28405255-28405294	R	3.94892	1.58179	3.28215	9.24326	5.88516	9.57199	4.29756
C2R48EE629	chr2:76473897-76473963	R	3.94892	12.6543	0.820538	7.70272	5.88516	9.57199	4.29756
C6R5530A43	chr6:89328195-89328204	R	7.89783	12.6543	0.820538	6.16217	11.7703	9.57199	4.29756
C6F6DE7463	chr6:115242083-115242102	F	15.7957	12.6543	0.820538	6.16217	11.7703	14.358	4.29756
C2F57260D7	chr2:91381975-91381993	F	15.7957	12.6543	0.820538	6.16217	11.7703	14.358	4.29756
C1R5ADCB1F	chr1:95275807-95275840	R	15.7957	3.16357	1.64108	2.31082	11.7703	4.78599	4.29756
C7F1BAC2C4	chr7:29016772-29016822	F	3.94892	1.58179	1.64108	2.31082	11.7703	9.57199	12.8927
C7F2B897C7	chr7:45651911-45651933	F	3.94892	1.58179	1.64108	2.31082	11.7703	9.57199	12.8927
C16F5AB32EC	chr16:95105772-95105834	F	3.94892	1.58179	1.64108	2.31082	11.7703	14.358	8.59513
C5R7DB7726	chr5:131823398-131823448	R	3.94892	6.32714	1.64108	3.85136	11.7703	9.57199	4.29756
C17F4B92D9	chr17:4952793-4952835	F	3.94892	6.32714	1.64108	0.770272	5.88516	4.78599	4.29756
C13F1B9E317	chr13:28959511-28959540	F	3.94892	6.32714	1.64108	0.770272	5.88516	14.358	12.8927
C12F493A71	chr12:4799089-4799089	F	3.94892	9.49071	7.38484	1.54054	11.7703	14.358	12.8927
C9R6478F5D	chr9:105353053-105353092	R	7.89783	9.49071	7.38484	5.3919	5.88516	9.57199	12.8927
C4R5AA74B8	chr4:95057080-95057081	R	7.89783	3.16357	0.820538	2.31082	5.88516	9.57199	12.8927
C19R27E3C9C	chr19:41827484-41827518	R	7.89783	3.16357	0.820538	0.770272	29.4258	9.57199	12.8927
C9R7459E9D	chr9:122003101-122003103	R	7.89783	3.16357	0.820538	0.770272	29.4258	9.57199	12.8927
C1F3BBC898	chr1:62638232-62638255	F	7.89783	3.16357	0.820538	0.770272	29.4258	9.57199	12.8927
C6F8A5BB0C	chr6:145079052-145079074	F	7.89783	3.16357	0.820538	0.770272	29.4258	9.57199	12.8927
C19R56CEA0	chr19:5688992-5689019	R	7.89783	3.16357	0.820538	0.770272	29.4258	9.57199	12.8927
C1RA572E44	chr1:173485636-173485648	R	7.89783	3.16357	0.820538	0.770272	29.4258	9.57199	12.8927
C6R54C0A97	chr6:88869527-88869563	R	7.89783	3.16357	0.820538	0.770272	29.4258	9.57199	12.8927
C7R5B4A6AF	chr7:95725231-95725231	R	7.89783	3.16357	0.820538	0.770272	29.4258	9.57199	12.8927
C11F6E6B69F	chr11:115783327-115783327	F	7.89783	3.16357	0.820538	0.770272	29.4258	9.57199	12.8927
C15F5FC6864	chr15:100427876-100427882	F	7.89783	3.16357	0.820538	0.770272	29.4258	9.57199	12.8927
C9R49D6321	chr9:77423393-77423393	R	7.89783	3.16357	0.820538	0.770272	29.4258	9.57199	12.8927
C6R2E82F97	chr6:48770967-48770967	R	7.89783	3.16357	0.820538	1.54054	23.5406	9.57199	4.29756
C2F50EACE3	chr2:84847843-84847878	F	7.89783	1.58179	3.28215	3.85136	23.5406	9.57199	21.4878
C10F5012F57	chr10:83963735-83963736	F	11.8468	3.16357	3.28215	3.08109	5.88516	4.78599	21.4878
C2F317528D	chr2:51860109-51860116	F	15.7957	3.16357	3.28215	3.08109	5.88516	4.78599	4.29756
C8F72C53B0	chr8:120345520-120345564	F	15.7957	3.16357	2.46161	3.85136	5.88516	4.78599	4.29756
C5F451FE7A	chr5:72482426-72482506	F	15.7957	3.16357	0.820538	13.8649	5.88516	4.78599	4.29756
C7R78F1302	chr7:126817026-126817077	R	15.7957	1.58179	0.820538	1.54054	17.6555	4.78599	4.29756
C5F2066AA9	chr5:33974953-33975005	F	15.7957	12.6543	0.820538	1.54054	17.6555	9.57199	4.29756
C2F910D411	chr2:152097809-152097810	F	15.7957	9.49071	0.820538	3.85136	11.7703	9.57199	4.29756
