Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
Gene1	1.4908979352409	0.414001954015806	1.15437319394844	1.26381454409952	2.34689206797633	0.729679508024724	1.03912214066764	0.379324215450297	0.39463210255736	1.57009984027552
Gene2	3.62527448941594	3.8534002916387	1.78407165290721	3.41907691664297	2.15554092321469	2.40742380555241	3.22621556846234	3.51745230249563	3.86281086675727	3.60059747685534
Gene3	5.0899227566326	5.34777647418987	5.25007178924524	5.04830821413395	5.14360466016595	5.53512306873063	5.92667895042631	4.86367723432608	5.21612927070904	4.6056850200173
Gene4	5.48259020897881	5.87685938129647	6.28812205412987	5.80826799683093	7.41183423504226	5.89741376349125	6.39482350573958	6.0988906769555	5.24800385069111	5.87781353032815
Gene5	4.93635902733767	6.07319646783833	5.46601417043675	5.72916146965739	5.99753473578477	5.62057481337621	5.79900146910658	6.5981137117466	6.552801851794	5.60052638217326
Gene6	5.74625501833091	6.27245260794773	6.68350795223505	6.47776813202142	7.02304011891832	5.46962333679152	5.84664268567578	5.51406788293828	5.76518377968342	5.12390198625371
Gene7	1.492376887008	3.65033767024598	1.7897868598047	2.11682264868379	1.53788323984221	1.31920028241199	3.89336128658218	2.10720626049732	3.37524093648258	1.02891501342149
Gene8	2.023284537003	1.9505562970285	3.20709438836449	2.66384227443307	1.74739505509181	2.27647871313391	1.58884531019718	3.97788295134301	2.85363796517472	2.64048503513588
Gene9	-0.249436207027637	-0.232237161428785	-0.232718120677894	0.160722571947793	0.0764469077908067	-0.230138219472565	-0.211181963395144	0.0355310613195215	1.84691637858523	1.10377081591826
Gene10	5.67508511897324	5.33734167293899	5.40901040789002	6.01567369750089	6.11184641998065	6.45789714133427	7.18061957048367	5.97002649804507	6.90745187082247	5.63979549663743
Gene11	5.65151059814579	6.25573602734532	4.03297148526151	4.55218544595482	5.17058801831646	5.90346362243878	4.99666786991108	5.31594263532695	5.36620640823006	5.85413028017456
Gene12	3.2468406627144	2.95365410498537	1.87907060861176	3.62708954932216	2.89060383745249	2.78024204879806	1.38338944591054	2.77571952453614	4.28368192655735	2.53760995970825
Gene13	3.07412265346331	2.7509311225752	3.19334153567943	2.51389633394069	1.74949278505655	2.3851233325962	2.36528453893766	1.99313749690029	1.9002781975303	2.49275724917187
Gene14	6.59860121691632	7.56048750860288	6.74444623215348	6.51329663684356	6.91613257972081	6.486454313725	6.56402926913823	5.97519794966336	6.07559329929035	5.76072492869106
Gene15	4.00797973690431	0.898490811658724	2.63445860558012	1.34676427486124	3.3130892451776	2.08563220304163	2.034976305515	2.27450006157016	1.19110528259702	1.33182700633161
Gene16	4.15089412387569	4.85813052535884	4.36928309935645	4.43159474063622	3.88029915313034	2.21524173394897	3.25222275791052	3.4678195578628	3.73460992540444	3.35762047808125
Gene17	4.89100542714643	4.90468776438581	5.6735290062986	4.56986853290879	5.33630699942701	5.71482880743923	4.53475680161625	4.97421250504993	5.54468170539195	5.03069070699766
Gene18	1.53872238643072	0.605842848692319	2.04968421676449	1.33785180729232	0.864621676952217	1.2494287435131	0.915867924292626	1.39656979112639	1.55614716428247	0.628892644033288
Gene19	5.75272603707084	5.64774356853758	6.40415805647695	6.55974714706489	6.94684891302683	4.08016712747005	4.17921228012631	4.91560653942941	4.78908156114383	3.17488571456419
Gene20	5.25493692403686	6.4198446991244	6.83083457674713	6.03956739588549	6.25602049235084	7.7556528422326	7.58160793963649	7.63104456667843	7.05971775856558	7.69149484219471
Gene21	2.79429198531837	2.04243747945603	0.480755566943585	2.0720688264562	3.7992758801293	1.4144872230118	0.53804212727108	0.413561410949552	0.816857483047863	0.538914315445909
Gene22	0.78979505352522	1.56801367195355	1.87355351123996	1.85915786796557	2.55050853878396	0.827395517826239	2.82664939934745	1.85957870737122	2.4553711650453	0.864666368060321
Gene23	6.07481534409549	5.78705068317771	5.04123900052682	5.5079314076707	5.28998111869998	8.40407183775713	7.09584601201033	7.9171492905639	7.83425409229351	5.31644898769312
Gene24	8.99910209455681	9.18355249986825	7.82067047720916	7.6074974803366	8.64245874430427	9.44119619846031	9.09840341027943	9.00611179104367	8.75100122112383	9.07085328579029
Gene25	0.418698683237052	1.16663074845496	0.466933654272188	0.537852667545232	0.985350109207243	0.474220048637387	3.83313619216997	2.90958383157028	3.26210777337011	0.951716189802988
Gene26	8.65081715398047	8.67742748332942	8.89895509763495	8.84972247418462	8.15304953524773	6.95460775723499	8.14417183666144	7.67767483746723	8.11074072575545	8.11665478148219
Gene27	3.26577010375828	1.6882541195269	1.94936006953957	2.09077581543254	2.6628091106928	4.9269916726643	3.14606953975892	4.32542070513901	3.694590303478	4.03304093833197
Gene28	1.88777353562865	1.0135096699395	1.56283512127317	1.56993821484147	0.803616162741694	0.551752821520337	0.857671139946649	1.08907397150782	1.38898442159339	0.571523075838274
Gene29	3.00107720300231	2.41692665637166	3.42013860167182	3.92860965452729	2.55604674585011	4.53837368999183	5.20546519232128	4.91042775188035	4.69364489253166	5.03684413543382
Gene30	1.17873514805139	1.15317992793453	0.301478415917615	0.319907089903051	0.522294408535943	1.04175721125878	1.11728205039587	0.49374276232634	0.978350934942062	0.317113184462312
Gene31	4.4636681919607	4.05074341405492	3.72830347159665	4.90551866015454	5.04474629202475	4.97048532394097	3.97217030327783	3.99050780092984	5.12442382066689	4.52824474561567
Gene32	5.40189799431423	4.10539567231614	4.90777597427392	4.37278364699174	5.35581994087407	4.87388401799716	4.98194913135155	4.29032943059336	4.86458724346426	1.91663217971884
